,sigungu,뚜레쥬르,파바,sum,pop,sido,rate,hp_bin,sig_cd
0,강원도 고성군,0,2,2,26791.5,강원도,0.7465054214956236,0~4개,
1,강원도 삼척시,1,3,4,65623.0,강원도,0.6095423860536702,0~4개,
2,강원도 양구군,1,1,2,22379.0,강원도,0.8936949819026766,0~4개,
3,강원도 양양군,1,1,2,27627.5,강원도,0.7239163876572255,0~4개,
4,강원도 영월군,2,2,4,38345.0,강원도,1.043160777154779,0~4개,
5,강원도 정선군,0,3,3,36313.0,강원도,0.8261504144521247,0~4개,
6,강원도 철원군,0,3,3,44767.5,강원도,0.6701289998324677,0~4개,
7,강원도 태백시,1,3,4,42288.0,강원도,0.9458948164964056,0~4개,
8,강원도 평창군,1,0,1,41489.0,강원도,0.24102774229313795,0~4개,
9,강원도 홍천군,2,4,6,68652.0,강원도,0.8739730816290858,4.5~8개,
10,강원도 화천군,1,0,1,24703.5,강원도,0.40480093913817883,0~4개,
11,강원도 횡성군,1,3,4,46150.0,강원도,0.8667388949079089,0~4개,
12,경기도 가평군,1,6,7,61675.0,경기도,1.1349817592217268,4.5~8개,
13,경기도 연천군,1,1,2,43104.5,경기도,0.46398867867624033,0~4개,
14,경상남도 거창군,3,3,6,61478.0,경상남도,0.9759588795992061,4.5~8개,
15,경상남도 고성군,1,1,2,51428.0,경상남도,0.3888932099245547,0~4개,
16,경상남도 남해군,1,1,2,43004.5,경상남도,0.465067609203688,0~4개,
17,경상남도 밀양시,2,4,6,104300.5,경상남도,0.5752609047895264,4.5~8개,
18,경상남도 산청군,0,2,2,34845.0,경상남도,0.5739704405223132,0~4개,
19,경상남도 의령군,1,1,2,26832.0,경상남도,0.7453786523553965,0~4개,
20,경상남도 창녕군,1,2,3,61341.5,경상남도,0.4890653146727746,0~4개,
21,경상남도 하동군,1,1,2,45389.5,경상남도,0.44063054230604,0~4개,
22,경상남도 함안군,1,3,4,64502.0,경상남도,0.6201358097423335,0~4개,
23,경상남도 함양군,1,1,2,39045.0,경상남도,0.5122294788065053,0~4개,
24,경상남도 합천군,1,1,2,44159.5,경상남도,0.4529036787101303,0~4개,
25,경상북도 고령군,0,2,2,31646.5,경상북도,0.6319814197462594,0~4개,
26,경상북도 군위군,1,0,1,23384.5,경상북도,0.427633688982018,0~4개,
27,경상북도 문경시,2,2,4,71266.5,경상북도,0.5612735296387503,0~4개,
28,경상북도 봉화군,1,1,2,31492.0,경상북도,0.6350819255683984,0~4개,
29,경상북도 상주시,2,3,5,98240.5,경상북도,0.5089550643573679,4.5~8개,
30,경상북도 성주군,1,1,2,43399.5,경상북도,0.4608348022442655,0~4개,
31,경상북도 안동시,8,10,18,158634.0,경상북도,1.1346873936230568,13.5~18개,
32,경상북도 영덕군,1,2,3,36484.0,경상북도,0.822278258962833,0~4개,
33,경상북도 영양군,0,1,1,16667.0,경상북도,0.5999880002399952,0~4개,
34,경상북도 영주시,2,6,8,103452.0,경상북도,0.7733054943355373,4.5~8개,
35,경상북도 영천시,2,6,8,101506.0,경상북도,0.7881307508915729,4.5~8개,
36,경상북도 울릉군,0,0,0,9184.5,경상북도,0.0,0~4개,
37,경상북도 울진군,3,3,6,48710.0,경상북도,1.2317799219872716,4.5~8개,
38,경상북도 의성군,2,1,3,51647.0,경상북도,0.5808662652235367,0~4개,
39,경상북도 청도군,3,1,4,42278.5,경상북도,0.9461073595326229,0~4개,
40,경상북도 청송군,0,0,0,25051.5,경상북도,0.0,0~4개,
41,대구광역시 남구,5,9,14,145124.0,대구광역시,0.9646922631680493,13.5~18개,
42,대구광역시 서구,3,10,13,170922.5,대구광역시,0.7605786248153403,9~13개,
43,부산광역시 동구,2,9,11,86801.0,부산광역시,1.2672665061462427,9~13개,
44,부산광역시 서구,3,6,9,105948.0,부산광역시,0.8494733265375468,4.5~8개,
45,부산광역시 영도구,2,5,7,113042.5,부산광역시,0.6192361280049539,4.5~8개,
46,인천광역시 강화군,2,2,4,68662.0,인천광역시,0.5825638635635432,0~4개,
47,인천광역시 옹진군,0,1,1,20366.5,인천광역시,0.4910023813615496,0~4개,
48,전라남도 강진군,1,1,2,34647.5,전라남도,0.5772422252687784,0~4개,
49,전라남도 고흥군,1,2,3,64022.0,전라남도,0.46858892255787077,0~4개,
50,전라남도 곡성군,0,1,1,28267.0,전라남도,0.3537694130965437,0~4개,
51,전라남도 구례군,1,1,2,25985.0,전라남도,0.7696748123917645,0~4개,
52,전라남도 담양군,0,1,1,46033.5,전라남도,0.21723310198007972,0~4개,
53,전라남도 보성군,2,2,4,40543.5,전라남도,0.9865946452575629,0~4개,
54,전라남도 신안군,0,1,1,39200.5,전라남도,0.2550987870052678,0~4개,
55,전라남도 영광군,0,2,2,52970.0,전라남도,0.37757221068529356,0~4개,
56,전라남도 영암군,0,3,3,53651.0,전라남도,0.5591694469814169,0~4개,
57,전라남도 완도군,1,2,3,50007.0,전라남도,0.5999160117583539,0~4개,
58,전라남도 장성군,1,3,4,44714.5,전라남도,0.8945644030459918,0~4개,
59,전라남도 장흥군,1,1,2,37858.5,전라남도,0.5282829483471347,0~4개,
60,전라남도 진도군,1,1,2,30721.5,전라남도,0.651009879074915,0~4개,
61,전라남도 함평군,1,1,2,32098.0,전라남도,0.623091781419403,0~4개,
62,전라남도 해남군,1,2,3,68999.5,전라남도,0.4347857593170965,0~4개,
63,전라남도 화순군,1,2,3,62181.5,전라남도,0.48245860907183,0~4개,
64,전라북도 고창군,1,3,4,54578.5,전라북도,0.7328893245508762,0~4개,
65,전라북도 김제시,1,4,5,82405.0,전라북도,0.6067592985862509,4.5~8개,
66,전라북도 남원시,1,4,5,80653.5,전라북도,0.6199358986280818,4.5~8개,
67,전라북도 무주군,0,1,1,24068.5,전라북도,0.41548081517335933,0~4개,
68,전라북도 부안군,1,1,2,52251.0,전라북도,0.38276779391781973,0~4개,
69,전라북도 순창군,0,1,1,27930.0,전라북도,0.35803795202291444,0~4개,
70,전라북도 임실군,0,1,1,27928.0,전라북도,0.3580635920939559,0~4개,
71,전라북도 장수군,0,1,1,22158.5,전라북도,0.4512940857910057,0~4개,
72,전라북도 정읍시,2,6,8,108474.0,전라북도,0.7375039179895643,4.5~8개,
73,전라북도 진안군,1,1,2,25360.5,전라북도,0.7886279844640287,0~4개,
74,충청남도 공주시,3,5,8,104677.0,충청남도,0.7642557581894781,4.5~8개,
75,충청남도 금산군,1,3,4,51373.0,충청남도,0.7786191189924668,0~4개,
76,충청남도 논산시,3,8,11,116625.5,충청남도,0.9431899541695427,9~13개,
77,충청남도 보령시,3,8,11,99852.5,충청남도,1.101624896722666,9~13개,
78,충청남도 부여군,1,2,3,65431.0,충청남도,0.45849826534822946,0~4개,
79,충청남도 서천군,1,3,4,51820.5,충청남도,0.7718952924035856,0~4개,
80,충청남도 예산군,2,4,6,78071.5,충청남도,0.7685262868012015,4.5~8개,
81,충청남도 청양군,1,1,2,31134.0,충청남도,0.6423845313804843,0~4개,
82,충청남도 태안군,3,3,6,62050.5,충청남도,0.9669543355815022,4.5~8개,
83,충청북도 괴산군,1,1,2,38968.0,충청북도,0.5132416341613631,0~4개,
84,충청북도 단양군,1,2,3,29143.0,충청북도,1.0294067185945168,0~4개,
85,충청북도 보은군,1,1,2,32402.5,충청북도,0.6172363243576884,0~4개,
86,충청북도 영동군,1,2,3,47736.5,충청북도,0.6284499282519665,0~4개,
87,충청북도 옥천군,2,2,4,50381.0,충청북도,0.7939501002362002,0~4개,
88,충청북도 제천시,7,10,17,132882.5,충청북도,1.2793257200910577,13.5~18개,
