sigungu,2011.4/4,2012.4/4,2013.4/4,2014.4/4,2015.4/4,2016.4/4,2017.4/4,2018.4/4,2019.4/4,2020.4/4,2021.4/4
부산광역시 동구,5,5,5,5,5,5,5,5,6,6,5
부산광역시 서구,2,3,4,6,5,5,5,5,6,6,6
부산광역시 영도구,2,3,4,4,4,5,5,5,5,5,5
대구광역시 남구,6,9,10,10,10,8,8,9,10,10,9
대구광역시 서구,5,7,9,8,9,9,9,8,9,10,10
인천광역시 강화군,2,2,4,3,4,4,5,5,4,4,3
인천광역시 옹진군,0,0,0,0,0,0,0,0,0,0,0
경기도 가평군,1,2,2,2,2,1,3,3,3,4,4
경기도 연천군,1,1,1,1,1,1,1,1,1,1,1
강원도 고성군,0,0,0,0,0,0,0,0,0,0,0
강원도 양구군,0,0,0,0,0,0,0,0,0,0,0
강원도 양양군,0,0,0,0,0,0,0,0,0,0,0
강원도 영월군,1,1,1,1,1,1,1,1,1,1,1
강원도 정선군,0,0,0,0,0,0,0,0,0,0,0
강원도 철원군,1,1,1,1,1,1,1,1,1,1,1
강원도 평창군,1,1,1,1,2,2,2,2,2,2,2
강원도 홍천군,2,3,3,3,3,3,3,3,3,3,3
강원도 화천군,0,0,0,0,0,0,0,0,0,0,0
강원도 횡성군,0,0,0,0,0,0,1,1,1,1,1
강원도 태백시,0,0,0,0,0,0,0,0,0,0,0
강원도 삼척시,1,1,1,1,1,1,1,1,1,1,1
충청북도 괴산군,2,2,1,1,1,1,1,1,1,1,0
충청북도 단양군,1,1,1,1,1,1,1,1,1,1,1
충청북도 보은군,2,2,2,2,2,2,2,2,2,3,3
충청북도 영동군,1,3,3,3,3,3,3,3,3,3,3
충청북도 옥천군,4,4,4,4,4,4,4,4,4,4,3
충청북도 제천시,6,6,6,6,6,5,5,6,7,7,6
충청남도 금산군,3,3,3,3,3,3,3,3,3,3,3
충청남도 부여군,3,3,3,4,4,4,5,5,5,5,3
충청남도 서천군,2,3,3,3,3,3,5,5,5,5,4
충청남도 예산군,2,2,2,2,2,1,0,1,0,0,0
충청남도 청양군,1,1,1,1,1,2,2,2,2,2,2
충청남도 태안군,3,3,3,3,2,2,2,2,1,1,1
충청남도 공주시,7,6,6,6,9,9,10,10,10,11,8
충청남도 보령시,3,3,3,3,3,3,4,4,4,3,2
충청남도 논산시,8,8,9,12,12,12,12,12,12,11,10
전라북도 고창군,4,4,5,5,5,5,5,5,5,5,5
전라북도 무주군,1,1,1,1,1,1,1,1,0,0,0
전라북도 부안군,2,2,2,2,2,2,2,2,2,2,2
전라북도 순창군,1,1,1,1,1,1,1,1,1,1,2
전라북도 임실군,1,1,1,1,1,2,2,2,1,2,1
전라북도 장수군,0,0,0,0,0,0,0,0,0,0,0
전라북도 진안군,0,0,0,0,0,0,0,0,0,0,0
전라북도 남원시,3,3,4,4,4,4,4,4,4,4,4
전라북도 정읍시,3,3,3,3,4,5,5,5,5,5,5
전라북도 김제시,4,4,6,4,4,4,4,4,4,4,4
전라남도 강진군,0,0,0,0,0,1,1,1,1,1,1
전라남도 고흥군,1,1,1,1,1,1,1,1,1,1,1
전라남도 곡성군,1,2,2,2,2,2,2,2,2,1,1
전라남도 구례군,2,3,3,3,3,3,3,3,3,3,3
전라남도 담양군,3,2,3,4,4,4,5,5,7,7,6
전라남도 보성군,1,3,3,3,4,4,4,4,4,4,4
전라남도 신안군,1,1,1,1,1,1,1,2,2,2,2
전라남도 영광군,1,1,1,1,1,1,2,2,2,2,1
전라남도 영암군,1,1,2,2,2,2,2,2,2,2,1
전라남도 완도군,0,0,0,0,0,0,0,0,0,0,0
전라남도 장성군,3,3,3,3,3,2,2,2,2,2,2
전라남도 장흥군,0,0,0,0,0,0,0,1,1,1,1
전라남도 진도군,1,1,1,1,1,1,1,1,1,1,1
전라남도 함평군,0,0,1,1,1,1,2,2,2,2,1
전라남도 해남군,1,1,1,1,1,1,2,2,2,2,1
전라남도 화순군,6,9,9,9,13,13,14,14,14,14,13
경상북도 고령군,2,2,2,2,2,2,2,2,2,2,1
경상북도 군위군,0,0,0,0,0,0,0,0,0,0,0
경상북도 봉화군,1,1,1,1,1,1,1,1,1,1,1
경상북도 성주군,3,3,3,4,4,4,5,5,5,5,5
경상북도 영덕군,0,1,2,2,2,2,1,1,2,2,2
경상북도 영양군,0,0,0,0,0,0,0,0,0,0,0
경상북도 울릉군,1,1,1,1,1,1,1,1,1,1,1
경상북도 울진군,2,2,2,2,2,2,2,2,2,2,2
경상북도 의성군,5,5,6,5,5,5,6,6,6,6,6
경상북도 청도군,3,4,4,4,5,5,5,5,5,5,5
경상북도 청송군,0,0,0,0,0,0,0,0,0,0,0
경상북도 안동시,7,6,7,7,7,8,8,8,7,7,7
경상북도 영주시,2,3,4,4,4,4,4,4,4,4,4
경상북도 영천시,3,3,3,3,3,3,3,3,3,3,3
경상북도 문경시,2,2,2,2,2,2,1,1,1,1,1
경상북도 상주시,1,1,1,2,2,2,3,3,3,3,3
경상남도 거창군,1,1,1,2,2,3,3,3,3,3,3
경상남도 고성군,1,1,1,1,1,2,2,2,2,2,2
경상남도 남해군,1,1,1,1,1,1,1,1,1,1,1
경상남도 산청군,0,0,0,0,0,0,0,0,1,1,1
경상남도 의령군,1,1,2,2,2,3,2,2,2,2,2
경상남도 창녕군,3,3,3,4,4,5,5,6,7,7,7
경상남도 하동군,1,0,0,0,0,1,2,2,2,2,2
경상남도 함안군,2,1,2,2,3,3,3,4,4,3,3
경상남도 함양군,0,0,0,0,0,0,0,0,0,0,0
경상남도 합천군,0,0,0,0,1,1,1,2,2,2,2
경상남도 밀양시,6,6,5,5,6,5,6,6,5,5,4