SIG_CD,SIG_KOR_NM,유소년비율,조출생률,1인 가구비율,터널수,만명당 매장 수,만명 당 의료기관 수,만명당 3차병원수,만명당 2차병원 수,만명당 1차병원 수,만명당 요양병원 수,만먕당 한의원 수,1차산업비율,2차산업비율,ktx거리,빈집비율,산지면적/도시면적,재정자립도,연평균인구증감률,시도,시군구
42820,고성군,7.629285408,3.657876565,0.3648313492,1,0.7465054215,8.584812347,0,0,0,0,1.493010843,23.08,12.13,78.2998,15.6,44.13772561,8.6,-2.9116,강원도,강원도 고성군
42230,삼척시,9.679533091,5.455404355,0.40353366,20,0.6095423861,8.381207808,0,0.1523855965,0.1523855965,0.1523855965,1.523855965,9.12,16.64,6.574,17.2,13.05962162,13.5,-1.6028,강원도,강원도 삼척시
42800,양구군,11.83699004,7.104875106,0.2940971415,7,0.8936949819,8.936949819,0,0,1.340542473,0,1.787389964,28.26,7.83,69.6764,7.8,142.8382749,8.1,-1.8544,강원도,강원도 양구군
42830,양양군,7.984797756,3.221427925,0.3611088791,52,0.7239163877,7.239163877,0,0,0,0,1.085874581,25.15,12.57,42.4503,23.7,44.81186445,14.1,0.6621,강원도,강원도 양양군
42750,영월군,7.560307732,3.20771939,0.3787481805,11,1.043160777,8.345286217,0,0.2607901943,0.2607901943,0.2607901943,1.564741166,25.87,12.82,23.651,11.3,36.15424558,15.2,-0.8921,강원도,강원도 영월군
42770,정선군,8.385426707,3.662600171,0.3777709924,1,0.8261504145,9.087654559,0,0,0.550766943,0,1.376917357,16.63,13.35,28.7242,14.3,24.497452,21.5,-1.2152,강원도,강원도 정선군
42780,철원군,11.64014073,7.639470598,0.2782996984,3,0.6701289998,9.381805998,0,0,0.2233763333,0.2233763333,2.233763333,30.05,12.44,64.3458,7.7,22.62149096,8.5,-1.7721,강원도,강원도 철원군
42190,태백시,10.75482406,3.807226636,0.3435359589,3,0.9458948165,8.276579644,0,0.2364737041,0.2364737041,0,1.655315929,2.48,16.93,39.1708,15.2,4.035657449,18.5,-2.3956,강원도,강원도 태백시
42760,평창군,8.009351876,2.627202391,0.3668124629,30,0.2410277423,11.56933163,0,0,0,0.4820554846,2.169249681,33,10.54,21.5334,25.2,71.6908062,11.5,-0.9584,강원도,강원도 평창군
42720,홍천군,9.220416011,4.297034318,0.3343717198,88,0.8739730816,10.77900134,0,0.1456621803,0.2913243605,0.4369865408,1.747946163,28.52,13.7,26.1157,13.1,49.40029692,12.1,-0.2989,강원도,강원도 홍천군
42790,화천군,10.88914526,6.072014087,0.3382014604,7,0.4048009391,8.905620661,0,0,0,0,1.619203757,23.46,5.76,70.7184,9.9,58.07451303,8.8,-1.3671,강원도,강원도 화천군
42730,횡성군,8.047670639,3.445287107,0.3227812895,17,0.8667388949,9.967497291,0,0,0.2166847237,0.2166847237,3.033586132,34.74,15.93,2.4118,13.2,76.81597758,11.4,0.2604,강원도,강원도 횡성군
41820,가평군,9.139845967,4.29671666,0.3452563709,24,1.134981759,11.18767734,0,0,0.3242805026,0.6485610053,2.43210377,13.1,13.42,37.6521,15.6,8.429662447,18,-0.0284,경기도,경기도 가평군
41800,연천군,9.985036365,5.637462446,0.337543554,2,0.4639886787,8.351796216,0,0,0,0.2319943393,1.623960375,25,18.92,55.5834,6.9,13.52007384,18.3,-1.3283,경기도,경기도 연천군
48880,거창군,10.52083672,3.871303556,0.3372610732,8,0.9759588796,13.17544487,0,0,0.4879794398,0.4879794398,2.277237386,35.69,13.88,53.3994,14.8,18.88329964,8.9,-0.7209,경상남도,경상남도 거창군
48820,고성군,8.985377615,2.663918488,0.3507755393,12,0.3888932099,11.6667963,0,0,0.3888932099,0.3888932099,2.138912655,34.34,16.16,27.1768,17.1,14.43223914,11.3,-1.5636,경상남도,경상남도 고성군
48840,남해군,6.785336418,2.441604948,0.3736118858,1,0.4650676092,14.18456208,0,0,0.2325338046,0.2325338046,2.325338046,48.72,7.69,16.1424,21.5,20.17828544,8.8,-1.225,경상남도,경상남도 남해군
48270,밀양시,9.109256427,3.576205291,0.3552069996,47,0.5752609048,10.4505731,0,0,0.7670145397,0.3835072699,2.301043619,30.88,18.07,3.8183,15,8.430430799,13.7,-0.8229,경상남도,경상남도 밀양시
48860,산청군,6.990959966,2.468072894,0.3812172154,16,0.5739704405,15.21021667,0,0,0,0.2869852203,4.017793084,51.13,10.36,36.8362,17.3,58.39870062,8.9,-0.8708,경상남도,경상남도 산청군
48720,의령군,6.697227191,3.242397138,0.4087754288,0,0.7453786524,15.6529517,0,0,0.3726893262,0.7453786524,2.236135957,45.03,15.22,23.0551,17.5,20.83233329,7.7,-1.1869,경상남도,경상남도 의령군
48740,창녕군,8.610809974,3.945126872,0.3528140088,0,0.4890653147,14.3459159,0,0,0.3260435431,1.141152401,1.956261259,38.44,18.25,26.3182,14.5,5.723710407,12.5,-1.0644,경상남도,경상남도 창녕군
48850,하동군,7.404796263,2.996287688,0.3608163265,10,0.4406305423,14.76112317,0,0,0.4406305423,0.4406305423,2.423467983,48.01,9.76,26.3124,13.5,27.6814991,8,-2.5314,경상남도,경상남도 하동군
48730,함안군,11.43995535,3.209202815,0.320576937,16,0.6201358097,8.991969241,0,0,0.4651018573,0.4651018573,1.860407429,24.4,28.07,16.0169,12.3,5.339078832,16.8,-1.7709,경상남도,경상남도 함안군
48870,함양군,8.380074273,2.689204764,0.3816353351,28,0.5122294788,13.83019593,0,0,0.2561147394,0,2.561147394,38.77,12.78,35.0561,17,28.66079118,10,-0.7292,경상남도,경상남도 함양군
48890,합천군,6.367825723,2.423034681,0.3975986615,25,0.4529036787,15.17227324,0,0,0.6793555181,0.4529036787,2.943873912,44.83,10.75,46.4028,20.5,30.01329318,8.8,-2.1617,경상남도,경상남도 합천군
47830,고령군,7.887128118,3.159907099,0.336710498,31,0.6319814197,12.63962839,0,0,0.3159907099,0.3159907099,2.843916389,34.4,22.4,30.5452,13.2,7.503610614,11.7,-2.1839,경상북도,경상북도 고령군
47720,군위군,4.999037824,2.523038765,0.3788940092,18,0.427633689,13.25664436,0,0,0,0,2.138168445,48.76,12.01,37.947,11.9,63.68617168,7.4,-0.9601,경상북도,경상북도 군위군
47280,문경시,9.304511938,4.588411105,0.3470281138,23,0.5612735296,12.48833603,0,0.1403183824,0.2806367648,0.1403183824,2.525730883,28.07,13.9,43.5487,12.1,18.53681189,11.3,-1.1218,경상북도,경상북도 문경시
47920,봉화군,7.33519624,3.429442398,0.3582352527,1,0.6350819256,9.843769846,0,0,0.3175409628,0.3175409628,1.270163851,49.48,7.99,13.2889,13.6,101.6500258,6.2,-1.5605,경상북도,경상북도 봉화군
47250,상주시,9.004432999,3.644118261,0.3661875894,42,0.5089550644,12.31671256,0,0.2035820257,0,0.3053730386,2.544775322,43.49,13.01,33.1809,13.4,16.50333952,8.4,-1.142,경상북도,경상북도 상주시
47840,성주군,7.000080646,4.331847141,0.3378400043,6,0.4608348022,12.90337446,0,0,0.2304174011,1.152087006,2.534591412,60.36,11.87,23.4457,9.4,38.84363897,12.2,-1.0056,경상북도,경상북도 성주군
47170,안동시,10.94973335,4.576572488,0.3706737231,43,1.134687394,11.28383575,0,0.1891145656,0.1891145656,0.4412673197,2.647603918,26.14,13.54,4.9948,14.8,13.53644432,10.6,-1.4983,경상북도,경상북도 안동시
47770,영덕군,7.559478127,4.13880057,0.3960246426,50,0.822278259,13.70463765,0,0,0.274092753,0.548185506,2.192742024,37.95,10.26,38.2456,15.8,31.84551036,8.8,-1.8015,경상북도,경상북도 영덕군
47760,영양군,7.283854323,3.119937601,0.3741100324,2,0.5999880002,10.799784,0,0,0.5999880002,0,1.199976,40.98,7.8,40.4167,13.8,60.97878285,6.1,-1.4733,경상북도,경상북도 영양군
47210,영주시,10.19313305,3.499207362,0.3411572765,10,0.7733054943,11.01960329,0,0.09666318679,0.3866527472,0.3866527472,2.513242857,23.22,19.1,0.478,9.3,8.218751311,11.5,-1.4328,경상북도,경상북도 영주시
47230,영천시,8.793568853,5.6154316,0.3592788135,16,0.7881307509,12.51157567,0,0.09851634386,0.09851634386,0.2955490316,3.645104723,36.09,22.64,26.582,14,10.91031905,15.4,0.3695,경상북도,경상북도 영천시
47930,울진군,9.620201191,4.249640731,0.3803508134,0,1.231779922,10.88072264,0,0,0.2052966537,0.4105933073,1.847669883,21.33,13.11,61.3473,18.5,17.69830803,10.7,-1.4934,경상북도,경상북도 울진군
47730,의성군,5.876430383,4.375859198,0.3843369529,48,0.5808662652,14.52165663,0,0,0.5808662652,1.16173253,1.548976707,57.7,7.78,24.7115,14.7,25.20056471,8.9,-1.0772,경상북도,경상북도 의성군
47820,청도군,6.194637937,2.649100607,0.3652915176,9,0.9461073595,13.48202987,0,0,0.4730536798,1.182634199,2.838322079,52.85,10.27,19.4624,20.4,23.45390071,10.3,-0.7551,경상북도,경상북도 청도군
47750,청송군,6.223180249,3.113586013,0.3840806985,20,0,14.76957468,0,0,0,0,3.592599246,45.27,5.62,37.4562,14.9,111.3680745,7.8,-1.2169,경상북도,경상북도 청송군
27200,남구,7.726495962,3.335078967,0.4295087145,2,0.9646922632,13.3678785,0.1378131805,0.1378131805,0.4134395414,0.620159312,4.203302004,0.9,20.3,4.6944,6.5,0.2340630593,11,-1.6045,대구광역시,대구광역시 남구
27170,서구,7.417981834,2.369494947,0.3429963265,7,0.7605786248,12.11075195,0,0.05850604806,0.4095423364,0.5850604806,4.036917316,1.02,34.89,2.0157,2.9,0.1143187067,13.7,-3.8235,대구광역시,대구광역시 서구
26170,동구,7.301759196,3.997649797,0.3829041258,5,1.267266506,14.97678598,0,0.345618138,0.5760302301,0.5760302301,4.838653933,0.13,18.24,1.3003,11.6,0.2346182709,15.8,-0.2584,부산광역시,부산광역시 동구
26140,서구,8.484350814,3.388454714,0.3843693157,4,0.8494733265,10.19367992,0.1887718503,0.1887718503,0.1887718503,0.566315551,3.020349605,1.15,18.08,2.9749,10.2,0.2326072445,12.2,-1.0882,부산광역시,부산광역시 서구
26200,영도구,7.806798328,2.556560586,0.3719673922,0,0.619236128,9.996240352,0,0.176924608,0.176924608,0.44231152,2.830793728,1.25,23.82,3.5959,10.9,0.06890326302,9.1,-2.6819,부산광역시,부산광역시 영도구
28710,강화군,8.119483848,4.558562232,0.2876176941,0,0.5825638636,10.34050858,0,0.1456409659,0.1456409659,0.4369228977,2.47589642,32.95,15.44,33.9357,14.5,10.21691147,14.5,0.4357,인천광역시,인천광역시 강화군
28720,옹진군,7.374855768,3.928019051,0.410510883,0,0.4910023814,12.27505953,0,0,0.4910023814,0,0.4910023814,16.67,8.33,22.1655,17.1,16.04666491,9,-1.0661,인천광역시,인천광역시 옹진군
46810,강진군,8.805830146,3.723212353,0.3803091311,16,0.5772422253,14.14243452,0,0,0.2886211126,0.2886211126,2.308968901,40.67,11.4,38.5046,18.8,10.54034865,7.8,-2.1588,전라남도,전라남도 강진군
46770,고흥군,6.883571272,3.795570273,0.3954508911,6,0.4685889226,14.99484552,0,0.1561963075,0.4685889226,0.1561963075,2.342944613,56.46,8.1,40.4703,18.7,13.8276277,7.1,-1.4093,전라남도,전라남도 고흥군
46720,곡성군,7.032935932,2.405632009,0.41128341,4,0.3537694131,15.56585418,0,0,0.3537694131,0.3537694131,1.768847065,48.8,9.34,1.015,15.8,25.43466884,9.5,-2.0009,전라남도,전라남도 곡성군
46730,구례군,7.973831056,3.386569175,0.3783028226,20,0.7696748124,15.77833365,0,0,0.3848374062,1.154512219,2.693861843,41.55,9.51,4.4014,15.5,30.91876032,7.3,-1.5811,전라남도,전라남도 구례군
46710,담양군,8.068037408,5.213594448,0.3078055965,17,0.217233102,14.33738473,0,0,0.217233102,1.303398612,2.17233102,43.65,13.85,27.1882,14,2.039592891,12.3,-0.5062,전라남도,전라남도 담양군
46780,보성군,7.483320384,3.132437999,0.3897107898,46,0.9865946453,16.27881165,0,0,0.4932973226,0.9865946453,2.466486613,46.57,10.09,42.7176,14.4,17.17048265,6.3,-2.321,전라남도,전라남도 보성군
46910,신안군,6.510121044,3.647912654,0.3874801436,0,0.255098787,15.81612479,0,0,0.510197574,0.510197574,1.530592722,66.81,6.81,5.4896,10,86.36351435,6.6,-2.2518,전라남도,전라남도 신안군
46870,영광군,10.89862186,10.53426468,0.3453986065,10,0.3775722107,13.59259958,0,0.3775722107,0,0.1887861053,2.643005475,36.65,14.49,29.6754,15.3,4.388256013,10.5,-1.152,전라남도,전라남도 영광군
46830,영암군,10.84043168,5.312109746,0.3603745999,17,0.559169447,12.11533802,0,0,0.3727796313,0.1863898157,2.609457419,32.7,25.73,23.8725,21.8,2.190799364,13,-1.4998,전라남도,전라남도 영암군
46890,완도군,9.962605235,4.879316896,0.3399981823,0,0.5999160118,12.19829224,0,0,0.1999720039,0,1.599776031,47.6,7.75,63.4237,14.5,9.655654055,6.3,-1.3327,전라남도,전라남도 완도군
46880,장성군,10.05490389,5.81466862,0.3074560655,25,0.894564403,11.62933724,0,0,0.4472822015,0.4472822015,1.789128806,39.52,16.41,18.3214,16.7,2.922111395,11.8,-0.9014,전라남도,전라남도 장성군
46800,장흥군,8.756289869,6.154496348,0.3787696744,37,0.5282829483,15.3202055,0,0.2641414742,0.5282829483,0.2641414742,2.641414742,42.79,9.77,40.8404,13.9,10.41509576,8.3,-1.8123,전라남도,전라남도 장흥군
46900,진도군,9.130413554,3.580554335,0.3749909962,0,0.6510098791,15.29873216,0,0,0.6510098791,0.3255049395,1.627524698,44.84,6.79,36.242,13.3,10.92102914,8.1,-0.6699,전라남도,전라남도 진도군
46860,함평군,7.343136644,4.112405757,0.3778425656,8,0.6230917814,15.88884043,0,0,0.6230917814,0.3115458907,2.492367126,54.97,9.12,19.1591,16,6.448874782,8.5,-1.7513,전라남도,전라남도 함평군
46820,해남군,9.660939572,5.724679164,0.3495852379,0,0.4347857593,12.60878702,0,0.2898571729,0.2898571729,0.1449285864,1.449285864,50.49,8.52,31.3185,14.3,7.718956711,7.4,-2.1713,전라남도,전라남도 해남군
46790,화순군,9.842155625,4.213471853,0.334075289,5,0.4824586091,13.99129966,0.1608195364,0,0.4824586091,2.090653973,1.929834436,18.64,18.03,19.5332,18.4,7.779549262,16.6,-1.0821,전라남도,전라남도 화순군
45790,고창군,8.539992854,3.719413322,0.3491717341,11,0.7328893246,15.75712048,0,0.1832223311,0.1832223311,0.9161116557,2.015445643,57.93,8.9,20.0859,15,8.043275347,7.5,-2.6033,전라북도,전라북도 고창군
45210,김제시,9.051635216,3.55560949,0.3313473487,2,0.6067592986,15.41168618,0,0,0.4854074389,0.4854074389,2.427037194,32.85,14.74,16.5812,15.8,2.628012667,9.7,-1.5544,전라북도,전라북도 김제시
45190,남원시,10.60462348,4.723911548,0.332177915,40,0.6199358986,15.62238465,0,0.1239871797,0.1239871797,0.4959487189,2.603730774,31.58,14.06,2.6895,12.9,15.32098866,9.1,-1.0639,전라북도,전라북도 남원시
45730,무주군,8.916218294,3.697779255,0.3556314641,21,0.4154808152,14.12634772,0,0,0,0,3.323846521,37.04,8.08,41.4522,15.6,41.26184906,8.5,-0.9277,전라북도,전라북도 무주군
45800,부안군,8.279267382,3.234387859,0.3459342216,1,0.3827677939,13.77964058,0,0.191383897,0.7655355878,0.3827677939,3.062142351,42.81,11.37,19.9728,17.2,4.147967983,9.2,-2.2055,전라북도,전라북도 부안군
45770,순창군,9.55245256,5.943430004,0.3351489362,4,0.358037952,19.33404941,0,0,0.358037952,0.716075904,2.148227712,53.5,10.83,18.1579,18.1,32.67161227,8.7,-1.8355,전라북도,전라북도 순창군
45750,임실군,8.14594672,5.90804927,0.3877221325,26,0.3580635921,21.48381553,0,0,0.3580635921,0.3580635921,3.580635921,48.89,9.52,23.8311,14.8,22.62218515,8.5,-2.4774,전라북도,전라북도 임실군
45740,장수군,9.116140533,4.287293815,0.3402126987,31,0.4512940858,13.08752849,0,0,0,0,1.805176343,39.31,8.62,29.9554,10.7,72.52484291,7.7,-1.6742,전라북도,전라북도 장수군
45180,정읍시,10.24853882,3.392518023,0.3321878335,10,0.737503918,14.65789037,0,0.09218798975,0.2765639692,0.4609399487,2.673451703,32.26,20.69,1.432,14.7,6.760533935,9.5,-1.4792,전라북도,전라북도 정읍시
45720,진안군,8.300309536,5.441533093,0.3466679042,30,0.7886279845,15.77255969,0,0,0.7886279845,0,1.971569961,42.21,10.03,24.4325,11.3,94.63607521,7.1,-0.6537,전라북도,전라북도 진안군
44150,공주시,9.383150071,4.337151428,0.359421894,30,0.7642557582,13.66107168,0,0.09553196977,0.09553196977,0.7642557582,3.152555003,29,19.14,12.8162,13,9.992680695,12.5,-1.248,충청남도,충청남도 공주시
44710,금산군,9.34148288,3.601113425,0.3644095926,8,0.778619119,14.4044537,0,0,0.1946547797,0.5839643392,3.309131256,35.44,19.11,24.9441,13.3,13.69227687,12.6,-1.4977,충청남도,충청남도 금산군
44230,논산시,10.44968725,4.184333615,0.3391119691,3,0.9431899542,14.3193384,0,0.08574454129,0.1714890826,0.8574454129,3.172548028,31.21,18.3,2.2691,11.9,4.662331045,11.4,-1.3538,충청남도,충청남도 논산시
44180,보령시,10.32222528,4.076012118,0.3183112943,5,1.101624897,11.81743071,0,0.1001477179,0.2002954358,0.2002954358,2.904283819,20.75,19.47,43.3527,12.7,10.87905216,13.6,-0.8888,충청남도,충청남도 보령시
44760,부여군,7.935076646,2.55230701,0.3347633497,13,0.4584982653,13.44928245,0,0,0.1528327551,0.4584982653,2.139658572,45.91,11.21,17.8964,12.2,7.28197517,9.1,-1.7678,충청남도,충청남도 부여군
44770,서천군,7.641763395,3.280554993,0.3390225986,12,0.7718952924,15.0519582,0,0,0.1929738231,0.7718952924,2.701633523,33.82,15.7,27.6942,17.5,6.303877907,10.1,-1.9042,충청남도,충청남도 서천군
44810,예산군,8.210422497,3.163766547,0.3208362329,11,0.7685262868,11.78406973,0,0.1280877145,0.2561754289,0,2.561754289,38.28,18.65,26.3595,15.1,6.656996012,12.7,-1.0158,충청남도,충청남도 예산군
44790,청양군,6.957024475,2.954968844,0.3425973081,7,0.6423845314,13.49007516,0,0,0,0.6423845314,2.24834586,54.13,10.55,29.8399,11.5,52.85520111,10.2,-1.4072,충청남도,충청남도 청양군
44825,태안군,8.563992232,3.513267419,0.3554924442,0,0.9669543356,10.9588158,0,0,0.1611590559,0.1611590559,2.095067727,42.24,8.47,71.9992,14.8,6.427400355,13,-0.6663,충청남도,충청남도 태안군
43760,괴산군,6.053685075,2.001642373,0.4089875474,20,0.5132416342,12.31779922,0,0,0.5132416342,0,1.283104085,44.86,15.64,20.9168,8.4,49.96299216,8.6,0.2683,충청북도,충청북도 괴산군
43800,단양군,7.480355488,2.539203239,0.3620085636,25,1.029406719,12.35288062,0,0,0,0.3431355729,1.715677864,25.79,16.35,2.3648,15.2,18.01856647,11.6,-1.1236,충청북도,충청북도 단양군
43720,보은군,7.693850783,3.456523416,0.3512859513,18,0.6172363244,16.04814443,0,0,0.3086181622,0.9258544865,2.468945297,42.31,16.92,31.8634,15.6,22.44329554,9.5,-1.3486,충청북도,충청북도 보은군
43740,영동군,8.341625381,4.524839483,0.3602778951,17,0.6284499283,15.29228159,0,0,0.2094833094,0.6284499283,3.142249641,43.45,12.52,35.8983,13.1,21.13531811,8.1,-1.5577,충청북도,충청북도 영동군
43730,옥천군,9.037137016,3.513229194,0.2933562593,25,0.7939501002,14.48958933,0,0.1984875251,0,0.5954625752,2.977312876,29.42,19.86,12.7339,11.7,63.38442818,11.4,-0.8429,충청북도,충청북도 옥천군
43150,제천시,10.92920437,4.605572592,0.360709953,6,1.27932572,11.43867703,0,0.1505089082,0.07525445412,0.4515267247,2.709160348,13.27,23.31,1.2238,11.6,11.10951131,15.3,-0.647,충청북도,충청북도 제천시