sigungu,산림면적_2020,산지면적_2020
부산광역시 서구,564,683
부산광역시 동구,232,272
부산광역시 영도구,397,387
대구광역시 서구,205,198
대구광역시 남구,678,408
인천광역시 강화군,16909,17682
인천광역시 옹진군,10744,12173
경기도 연천군,29466,41162
경기도 가평군,59931,69030
강원도 태백시,8897,26855
강원도 삼척시,40191,104323
강원도 홍천군,65341,151734
강원도 횡성군,44302,76193
강원도 영월군,34137,95389
강원도 평창군,50279,119586
강원도 정선군,36723,104220
강원도 철원군,37983,59849
강원도 화천군,31778,76832
강원도 양구군,19868,52993
강원도 고성군,18473,54827
강원도 양양군,16034,52485
충청북도 제천시,52136,64042
충청북도 보은군,29615,39807
충청북도 옥천군,28575,349001
충청북도 영동군,53742,65745
충청북도 괴산군,52332,62103
충청북도 단양군,34882,64227
충청남도 공주시,52214,60071
충청남도 보령시,30915,32707
충청남도 논산시,20949,23242
충청남도 금산군,34954,40328
충청남도 부여군,29171,31597
충청남도 서천군,14343,14523
충청남도 청양군,28325,31498
충청남도 예산군,21692,24506
충청남도 태안군,21208,23326
전라북도 정읍시,27538,32338
전라북도 남원시,34752,46955
전라북도 김제시,8666,11519
전라북도 진안군,45789,60551
전라북도 무주군,29437,50972
전라북도 장수군,29046,39703
전라북도 임실군,37675,40686
전라북도 순창군,28442,33031
전라북도 고창군,20590,26110
전라북도 부안군,13301,19817
전라남도 담양군,25375,27218
전라남도 곡성군,32211,39366
전라남도 구례군,31443,33720
전라남도 고흥군,42144,45162
전라남도 보성군,34749,41164
전라남도 화순군,48484,57578
전라남도 장흥군,31112,38813
전라남도 강진군,25151,28503
전라남도 해남군,40260,44250
전라남도 영암군,18267,22487
전라남도 함평군,15468,18082
전라남도 영광군,18977,20632
전라남도 장성군,29026,31745
전라남도 완도군,23504,25716
전라남도 진도군,20189,25082
전라남도 신안군,28523,32173
경상북도 안동시,98312,106975
경상북도 영주시,26500,41154
경상북도 영천시,57733,62185
경상북도 상주시,73277,82924
경상북도 문경시,54120,70256
경상북도 군위군,44266,46147
경상북도 의성군,75550,82111
경상북도 청송군,57109,69007
경상북도 영양군,28901,69839
경상북도 영덕군,38092,60224
경상북도 청도군,45206,49605
경상북도 고령군,23591,24367
경상북도 성주군,38389,41109
경상북도 봉화군,45428,96412
경상북도 울진군,34689,84811
경상북도 울릉군,3532,5481
경상남도 밀양시,47066,51798
경상남도 의령군,31625,32983
경상남도 함안군,20614,20927
경상남도 창녕군,27839,28318
경상남도 고성군,32541,33700
경상남도 남해군,20087,23813
경상남도 하동군,36069,48542
경상남도 산청군,48035,61123
경상남도 함양군,44690,55577
경상남도 거창군,55081,60250
경상남도 합천군,67053,70669