sigungu_id,sigungu,gap
33042,청주시 서원구,-24221
33044,청주시 청원구,3514
33041,청주시 상당구,20126
33043,청주시 흥덕구,13866
33020,충주시,1008
33030,제천시,-4926
33320,보은군,-2343
33330,옥천군,-2174
33340,영동군,-4779
33390,증평군,-882
33350,진천군,15226
33360,괴산군,-851
33370,음성군,-5590
33380,단양군,-2172
34080,당진시,462
34011,천안시 동남구,-3627
34012,천안시 서북구,44158
34020,공주시,-6786
34030,보령시,-5465
34040,아산시,21651
34050,서산시,5857
34060,논산시,-8730
34070,계룡시,697
34310,금산군,-4135
34330,부여군,-6413
34340,서천군,-5267
34350,청양군,-2313
34360,홍성군,-647
34370,예산군,-4538
34380,태안군,-2374
35011,전주시 완산구,-26041
35012,전주시 덕진구,31566
35020,군산시,-12247
35030,익산시,-22366
35040,정읍시,-8686
35050,남원시,-4757
35060,김제시,-6869
35310,완주군,-4338
35320,진안군,-1082
35330,무주군,-1201
35340,장수군,-1933
35350,임실군,-3467
35360,순창군,-3094
35370,고창군,-7211
35380,부안군,-6210
36010,목포시,-19150
36020,여수시,-12226
36030,순천시,2888
36040,나주시,12350
36060,광양시,-5049
36310,담양군,-1049
36320,곡성군,-2865
36330,구례군,-2177
36350,고흥군,-4894
36360,보성군,-5094
36370,화순군,-2679
36380,장흥군,-4122
36390,강진군,-4000
36400,해남군,-7955
36410,영암군,-4108
36420,무안군,8998
36430,함평군,-3123
36440,영광군,-3633
36450,장성군,-2739
36460,완도군,-4037
36470,진도군,-2012
36480,신안군,-4435
37011,포항시 남구,-13947
37012,포항시 북구,1024
37020,경주시,-7563
37030,김천시,-2017
37040,안동시,-11826
37050,구미시,-7310
37060,영주시,-7305
37070,영천시,1367
37080,상주시,-6233
37090,문경시,-3548
37100,경산시,10332
37310,군위군,-1226
37320,의성군,-3382
37330,청송군,-1762
37340,영양군,-1393
37350,영덕군,-3738
37360,청도군,-1673
37370,고령군,-3631
37380,성주군,-2363
37390,칠곡군,-9377
37400,예천군,9573
37410,봉화군,-2777
37420,울진군,-3880
37430,울릉군,-1134
38111,창원시 의창구,-34408
38112,창원시 성산구,19991
38113,창원시 마산합포구,-475
38114,창원시 마산회원구,-23910
38115,창원시 진해구,7636
38030,진주시,358
38050,통영시,-12777
38060,사천시,-4959
38070,김해시,8251
38080,밀양시,-4829
38090,거제시,-15967
38100,양산시,37689
38310,의령군,-1789
38320,함안군,-6390
38330,창녕군,-3853
38340,고성군,-4225
38350,남해군,-2863
38360,하동군,-6173
38370,산청군,-1738
38380,함양군,-1931
38390,거창군,-2235
38400,합천군,-5091