,2016,2021,(2021-2016)/2016
종로구,152737,144683,-3.995039683
중구,125249,122499,-1.364087302
용산구,230241,222953,-3.615079365
성동구,299259,285990,-6.581845238
광진구,357215,339996,-8.541170635
동대문구,355069,337400,-8.764384921
중랑구,411005,387350,-11.73363095
성북구,450355,430528,-9.834821429
강북구,327195,299182,-13.8953373
도봉구,348220,317366,-15.30456349
노원구,567581,510956,-28.08779762
은평구,491476,473307,-9.012400794
서대문구,314194,304819,-4.650297619
마포구,379892,368905,-5.449900794
양천구,477739,447302,-15.09771825
강서구,595485,574315,-10.50099206
구로구,417551,396754,-10.31597222
금천구,235386,230811,-2.269345238
영등포구,370613,376837,3.087301587
동작구,400997,385483,-7.695436508
관악구,506851,485699,-10.49206349
서초구,447192,412279,-17.31795635
강남구,567115,533042,-16.90128968
송파구,657831,658338,0.2514880952
강동구,444168,462664,9.174603175
중구,45208,40524,-2.323412698
서구,112973,105164,-3.873511905
동구,89826,87679,-1.064980159
영도구,126362,110638,-7.799603175
부산진구,376526,353159,-11.59077381
동래구,272745,266866,-2.916170635
남구,278779,262069,-8.288690476
북구,310202,283211,-13.38839286
해운대구,419853,396438,-11.61458333
사하구,334603,306003,-14.18650794
금정구,244624,228049,-8.22172619
강서구,108909,142918,16.86954365
연제구,207268,207144,-0.06150793651
수영구,179324,175095,-2.097718254
사상구,232800,208298,-12.15376984
기장군,158527,177125,9.225198413
중구,79712,74791,-2.440972222
동구,351352,341436,-4.918650794
서구,199507,164528,-17.35069444
남구,156433,143175,-6.576388889
북구,440383,437008,-1.674107143
수성구,447011,417097,-14.83829365
달서구,591891,544926,-23.29613095
달성군,218268,262451,21.91617063
중구,115249,143633,14.07936508
동구,71014,61486,-4.726190476
미추홀구,595547,407464,-93.29513889
연수구,328627,389644,30.26636905
남동구,530982,518272,-6.304563492
부평구,549716,486765,-31.22569444
계양구,330284,295696,-17.15674603
서구,510733,555380,22.14632937
강화군,68010,69693,0.8348214286
옹진군,21351,20342,-0.5004960317
동구,95791,103470,3.809027778
서구,309579,291231,-9.101190476
남구,219729,215575,-2.060515873
북구,441066,427114,-6.920634921
광산구,403049,404221,0.5813492063
동구,234959,222222,-6.317956349
중구,252490,230341,-10.98660714
서구,491011,473365,-8.75297619
유성구,343222,351277,3.995535714
대덕구,192688,175046,-8.750992063
중구,242536,212883,-14.70882937
남구,340714,313819,-13.34077381
동구,174514,154096,-10.12797619
북구,195285,218735,11.63194444
울주군,219255,222059,1.390873016
세종시,243048,371895,63.91220238
수원시,1194041,1183714,-5.122519841
장안구,296479,273835,-11.23214286
권선구,358393,364136,2.848710317
팔달구,198515,182321,-8.032738095
영통구,340654,363422,11.29365079
성남시,974580,930948,-21.64285714
수정구,232841,235988,1.561011905
중원구,237909,210777,-13.45833333
분당구,503830,484183,-9.745535714
의정부시,438457,463661,12.50198413
안양시,597414,547178,-24.91865079
만안구,252353,238311,-6.965277778
동안구,345061,308867,-17.95337302
부천시,851380,806067,-22.47668651
광명시,339484,292893,-23.11061508
평택시,470832,564288,46.35714286
동두천시,98277,93592,-2.32390873
안산시,689859,652726,-18.41914683
상록구,375857,350668,-12.49454365
단원구,314002,302058,-5.924603175
고양시,1039684,1079353,19.67708333
덕양구,446233,482927,18.20138889
일산동구,292612,298873,3.105654762
일산서구,300839,297553,-1.629960317
과천시,63778,73345,4.745535714
구리시,193763,191948,-0.900297619
남양주시,662154,733798,35.53769841
오산시,208656,229983,10.57886905
시흥시,402888,512030,54.13789683
군포시,284890,268535,-8.112599206
의왕시,156763,163356,3.270337302
하남시,211101,320087,54.06051587
용인시,991126,1077508,42.84821429
처인구,226130,260198,16.89880952
기흥구,417163,441742,12.19196429
수지구,347833,375568,13.75744048
파주시,430781,483245,26.02380952
이천시,210359,223177,6.358134921
안성시,182896,189534,3.29265873
김포시,363443,486508,61.04414683
화성시,640890,887015,122.0858135
광주시,327723,387289,29.54662698
양주시,205513,236368,15.30505952
포천시,154763,148939,-2.888888889
여주시,111563,112150,0.2911706349
연천군,45907,42721,-1.580357143
가평군,62448,62264,-0.09126984127
양평군,111367,121230,4.892361111
춘천시,280707,284594,1.928075397
원주시,337979,357757,9.810515873
강릉시,213846,212965,-0.4370039683
동해시,93297,90081,-1.595238095
태백시,47070,40844,-3.088293651
속초시,81793,82791,0.4950396825
삼척시,69599,63429,-3.060515873
홍천군,70076,68365,-0.8487103175
횡성군,45991,46481,0.2430555556
영월군,40073,37904,-1.075892857
평창군,43318,40996,-1.151785714
정선군,38718,35675,-1.509424603
철원군,48013,43340,-2.317956349
화천군,26264,24195,-1.026289683
양구군,24010,21748,-1.12202381
인제군,32720,32165,-0.275297619
고성군,30114,27249,-1.421130952
양양군,27218,27913,0.3447420635
청주시,835197,848482,6.589781746
서원구,217120,192899,-12.01438492
청원구,190813,194327,1.743055556
상당구,173701,193827,9.983134921
흥덕구,253563,267429,6.87797619
충주시,208350,209358,0.5
제천시,136517,131591,-2.443452381
보은군,34221,31878,-1.162202381
옥천군,52267,50093,-1.078373016
영동군,50552,45773,-2.370535714
증평군,37308,36426,-0.4375
진천군,69950,85176,7.552579365
괴산군,38973,38122,-0.4221230159
음성군,97787,92197,-2.77281746
단양군,30503,28331,-1.077380952
당진시,166630,167092,0.2291666667
천안시,617955,658486,20.1046627
동남구,258919,255292,-1.799107143
서북구,359036,403194,21.90376984
공주시,109931,103145,-3.366071429
보령시,103873,98408,-2.710813492
아산시,302929,324580,10.73958333
서산시,170788,176645,2.905257937
논산시,123213,114483,-4.330357143
계룡시,42634,43331,0.345734127
금산군,54612,50477,-2.05109127
부여군,70187,63774,-3.181051587
서천군,56012,50745,-2.612599206
청양군,32753,30440,-1.147321429
홍성군,99971,99324,-0.3209325397
예산군,81339,76801,-2.250992063
태안군,63900,61526,-1.177579365
전주시,651744,657269,2.740575397
완산구,361845,335804,-12.9171627
덕진구,289899,321465,15.6577381
군산시,277551,265304,-6.074900794
익산시,300479,278113,-11.09424603
정읍시,115173,106487,-4.308531746
남원시,84188,79431,-2.359623016
김제시,87782,80913,-3.407242063
완주군,95480,91142,-2.151785714
진안군,26069,24987,-0.5367063492
무주군,24949,23748,-0.595734127
장수군,23628,21695,-0.9588293651
임실군,30197,26730,-1.719742063
순창군,29949,26855,-1.534722222
고창군,60597,53386,-3.576884921
부안군,57005,50795,-3.080357143
목포시,237739,218589,-9.499007937
여수시,288988,276762,-6.064484127
순천시,278548,281436,1.432539683
나주시,104376,116726,6.125992063
광양시,155580,150531,-2.504464286
담양군,47229,46180,-0.5203373016
곡성군,30400,27535,-1.421130952
구례군,27412,25235,-1.079861111
고흥군,67656,62762,-2.427579365
보성군,44469,39375,-2.526785714
화순군,65303,62624,-1.328869048
장흥군,40669,36547,-2.044642857
강진군,37753,33753,-1.984126984
해남군,75121,67166,-3.94593254
영암군,57045,52937,-2.037698413
무안군,82109,91107,4.463293651
함평군,34397,31274,-1.549107143
영광군,55618,51985,-1.802083333
장성군,46104,43365,-1.358630952
완도군,52668,48631,-2.002480159
진도군,32078,30066,-0.998015873
신안군,42652,38217,-2.199900794
포항시,516775,503852,-6.410218254
남구,244748,230801,-6.918154762
북구,272027,273051,0.5079365079
경주시,259452,251889,-3.751488095
김천시,142256,140239,-1.000496032
안동시,168798,156972,-5.866071429
구미시,419891,412581,-3.625992063
영주시,109247,101942,-3.623511905
영천시,100521,101888,0.6780753968
상주시,101799,95566,-3.091765873
문경시,74702,71154,-1.759920635
경산시,258037,268369,5.125
군위군,24171,22945,-0.6081349206
의성군,54014,50632,-1.677579365
청송군,26301,24539,-0.8740079365
영양군,17713,16320,-0.6909722222
영덕군,39052,35314,-1.854166667
청도군,43564,41891,-0.8298611111
고령군,34257,30626,-1.80109127
성주군,45205,42842,-1.172123016
칠곡군,123199,113822,-4.651289683
예천군,46166,55739,4.748511905
봉화군,33539,30762,-1.377480159
울진군,51738,47858,-1.924603175
울릉군,10001,8867,-0.5625
창원시,1063907,1032741,-15.4593254
의창구,252435,218027,-17.06746032
성산구,231571,251562,9.916170635
마산합포구,181797,181322,-0.2356150794
마산회원구,210791,186881,-11.86011905
진해구,187313,194949,3.787698413
진주시,346739,347097,0.1775793651
통영시,138160,125383,-6.337797619
사천시,114912,109953,-2.459821429
김해시,529422,537673,4.092757937
밀양시,108354,103525,-2.395337302
거제시,257183,241216,-7.920138889
양산시,317037,354726,18.69494048
의령군,28111,26322,-0.8874007937
함안군,68937,62547,-3.169642857
창녕군,63982,60129,-1.911210317
고성군,54703,50478,-2.095734127
남해군,45129,42266,-1.420138889
하동군,49622,43449,-3.062003968
산청군,36098,34360,-0.8621031746
함양군,40241,38310,-0.9578373016
거창군,63308,61073,-1.108630952
합천군,48026,42935,-2.525297619
제주시,470665,493096,11.1264881
서귀포시,170932,183663,6.314980159