행정구역(시군구)별,2016,2021,2021-2016
청주시 서원구,217120,192899,-24221
청주시 청원구,190813,194327,3514
청주시 상당구,173701,193827,20126
청주시 흥덕구,253563,267429,13866
충주시,208350,209358,1008
제천시,136517,131591,-4926
보은군,34221,31878,-2343
옥천군,52267,50093,-2174
영동군,50552,45773,-4779
증평군,37308,36426,-882
진천군,69950,85176,15226
괴산군,38973,38122,-851
음성군,97787,92197,-5590
단양군,30503,28331,-2172
당진시,166630,167092,462
천안시 동남구,258919,255292,-3627
천안시 서북구,359036,403194,44158
공주시,109931,103145,-6786
보령시,103873,98408,-5465
아산시,302929,324580,21651
서산시,170788,176645,5857
논산시,123213,114483,-8730
계룡시,42634,43331,697
금산군,54612,50477,-4135
부여군,70187,63774,-6413
서천군,56012,50745,-5267
청양군,32753,30440,-2313
홍성군,99971,99324,-647
예산군,81339,76801,-4538
태안군,63900,61526,-2374
전주시 완산구,361845,335804,-26041
전주시 덕진구,289899,321465,31566
군산시,277551,265304,-12247
익산시,300479,278113,-22366
정읍시,115173,106487,-8686
남원시,84188,79431,-4757
김제시,87782,80913,-6869
완주군,95480,91142,-4338
진안군,26069,24987,-1082
무주군,24949,23748,-1201
장수군,23628,21695,-1933
임실군,30197,26730,-3467
순창군,29949,26855,-3094
고창군,60597,53386,-7211
부안군,57005,50795,-6210
목포시,237739,218589,-19150
여수시,288988,276762,-12226
순천시,278548,281436,2888
나주시,104376,116726,12350
광양시,155580,150531,-5049
담양군,47229,46180,-1049
곡성군,30400,27535,-2865
구례군,27412,25235,-2177
고흥군,67656,62762,-4894
보성군,44469,39375,-5094
화순군,65303,62624,-2679
장흥군,40669,36547,-4122
강진군,37753,33753,-4000
해남군,75121,67166,-7955
영암군,57045,52937,-4108
무안군,82109,91107,8998
함평군,34397,31274,-3123
영광군,55618,51985,-3633
장성군,46104,43365,-2739
완도군,52668,48631,-4037
진도군,32078,30066,-2012
신안군,42652,38217,-4435
포항시 남구,244748,230801,-13947
포항시 북구,272027,273051,1024
경주시,259452,251889,-7563
김천시,142256,140239,-2017
안동시,168798,156972,-11826
구미시,419891,412581,-7310
영주시,109247,101942,-7305
영천시,100521,101888,1367
상주시,101799,95566,-6233
문경시,74702,71154,-3548
경산시,258037,268369,10332
군위군,24171,22945,-1226
의성군,54014,50632,-3382
청송군,26301,24539,-1762
영양군,17713,16320,-1393
영덕군,39052,35314,-3738
청도군,43564,41891,-1673
고령군,34257,30626,-3631
성주군,45205,42842,-2363
칠곡군,123199,113822,-9377
예천군,46166,55739,9573
봉화군,33539,30762,-2777
울진군,51738,47858,-3880
울릉군,10001,8867,-1134
창원시 의창구,252435,218027,-34408
창원시 성산구,231571,251562,19991
창원시 마산합포구,181797,181322,-475
창원시 마산회원구,210791,186881,-23910
창원시 진해구,187313,194949,7636
진주시,346739,347097,358
통영시,138160,125383,-12777
사천시,114912,109953,-4959
김해시,529422,537673,8251
밀양시,108354,103525,-4829
거제시,257183,241216,-15967
양산시,317037,354726,37689
의령군,28111,26322,-1789
함안군,68937,62547,-6390
창녕군,63982,60129,-3853
고성군,54703,50478,-4225
남해군,45129,42266,-2863
하동군,49622,43449,-6173
산청군,36098,34360,-1738
함양군,40241,38310,-1931
거창군,63308,61073,-2235
합천군,48026,42935,-5091